Date,Debt to GDP,GDP,y
1790-01-01,27.92,0.3,0
1791-01-01,28.51,0.3,
1792-01-01,26.86,0.3,
1793-01-01,25.01,0.3,
1794-01-01,21.16,0.4,
1795-01-01,18.06,0.4,
1796-01-01,16.76,0.5,
1797-01-01,17.08,0.5,
1798-01-01,16.21,0.5,
1799-01-01,14.89,0.5,
1800-01-01,15.13,0.5,
1801-01-01,13.66,0.6,
1802-01-01,14.53,0.6,
1803-01-01,13.46,0.6,
1804-01-01,13.82,0.6,
1805-01-01,11.81,0.7,
1806-01-01,10.99,0.7,
1807-01-01,10.11,0.7,
1808-01-01,10.18,0.6,
1809-01-01,7.95,0.7,
1810-01-01,6.9,0.8,
1811-01-01,6.08,0.8,
1812-01-01,5.48,0.8,
1813-01-01,5.63,1,
1814-01-01,6.93,1.2,
1815-01-01,8.01,1.2,
1816-01-01,9.91,1.3,
1817-01-01,9.32,1.3,
1818-01-01,7.62,1.4,
1819-01-01,7.81,1.2,
1820-01-01,8.4,1.1,
1821-01-01,8.75,1,
1822-01-01,8.33,1.1,
1823-01-01,8.31,1.1,
1824-01-01,8.14,1.1,
1825-01-01,6.73,1.2,
1826-01-01,6.89,1.2,
1827-01-01,6.26,1.2,
1828-01-01,5.57,1.2,
1829-01-01,4.72,1.2,
1830-01-01,3.94,1.2,
1831-01-01,2.93,1.3,
1832-01-01,1.67,1.5,
1833-01-01,0.44,1.6,
1834-01-01,0.29,1.6,
1835-01-01,0,1.7,
1836-01-01,0,1.7,
1837-01-01,0.02,1.9,
1838-01-01,0.18,1.8,
1839-01-01,0.56,1.9,
1840-01-01,0.2,1.8,
1841-01-01,0.3,1.8,
1842-01-01,0.8,1.7,
1843-01-01,1.09,1.9,
1844-01-01,1.77,2,
1845-01-01,1.18,2.1,
1846-01-01,0.75,2.3,
1847-01-01,0.68,2.5,
1848-01-01,1.54,2.5,
1849-01-01,1.85,2.5,
1850-01-01,2.5,2.8,
1851-01-01,2.26,2.8,
1852-01-01,2.4,3.2,
1853-01-01,2.07,3.6,
1854-01-01,1.67,3.6,
1855-01-01,1.19,4,
1856-01-01,0.9,4.2,
1857-01-01,0.77,4,
1858-01-01,0.71,4.3,
1859-01-01,1.41,4.1,
1860-01-01,1.57,4.1,
1861-01-01,2.13,4.2,
