"날짜","종가","시가","고가","저가","거래량","변동 %"
"2023- 06- 25","116,700","113,600","117,400","110,800","3.59M","2.73%"
"2023- 06- 18","113,600","118,000","118,500","112,500","15.43M","-4.46%"
"2023- 06- 11","118,900","114,400","121,100","114,000","19.62M","3.03%"
"2023- 06- 04","115,400","110,100","115,600","106,700","16.94M","4.62%"
"2023- 05- 28","110,300","113,200","113,400","106,000","25.41M","1.01%"
"2023- 05- 21","109,200","97,700","110,500","96,300","25.75M","12.23%"
"2023- 05- 14","97,300","87,000","97,900","85,500","19.13M","11.58%"
"2023- 05- 07","87,200","89,700","90,000","85,000","12.33M","-1.69%"
"2023- 04- 30","88,700","90,900","90,900","87,500","5.94M","-0.89%"
"2023- 04- 23","89,500","88,100","91,400","83,700","15.30M","0.45%"
"2023- 04- 16","89,100","89,000","89,800","86,200","9.94M","-0.22%"
"2023- 04- 09","89,300","88,700","92,500","88,200","21.50M","0.22%"
"2023- 04- 02","89,100","89,700","89,700","82,700","30.02M","0.56%"
"2023- 03- 26","88,600","87,500","90,500","84,700","15.97M","1.49%"
"2023- 03- 19","87,300","83,800","90,700","82,900","13.80M","3.93%"
"2023- 03- 12","84,000","83,200","84,800","76,700","21.63M","0.84%"
"2023- 03- 05","83,300","87,900","90,000","83,100","13.52M","-4.58%"
"2023- 02- 26","87,300","90,100","91,000","87,200","8.85M","-4.07%"
"2023- 02- 19","91,000","92,700","94,000","88,500","11.40M","-1.09%"
"2023- 02- 12","92,000","92,000","94,200","89,900","10.44M","-1.60%"
"2023- 02- 05","93,500","91,400","95,000","88,800","13.33M","1.41%"
"2023- 01- 29","92,200","91,300","94,900","86,800","18.01M","0.77%"
"2023- 01- 22","91,500","92,000","92,800","90,100","8.25M","4.45%"
"2023- 01- 15","87,600","86,000","87,800","84,000","8.59M","2.22%"
"2023- 01- 08","85,700","84,900","88,400","83,500","15.16M","3.13%"
"2023- 01- 01","83,100","75,100","83,600","73,100","16.27M","10.80%"
"2022- 12- 25","75,000","77,700","77,700","74,700","6.66M","-3.60%"
"2022- 12- 18","77,800","78,300","80,100","77,300","8.25M","-0.77%"
"2022- 12- 11","78,400","80,100","82,700","77,500","11.12M","-3.80%"
"2022- 12- 04","81,500","81,900","82,300","78,200","16.43M","-0.49%"
"2022- 11- 27","81,900","84,100","87,300","81,800","14.52M","-3.76%"
"2022- 11- 20","85,100","87,600","87,700","84,900","8.23M","-3.73%"
"2022- 11- 13","88,400","93,900","93,900","82,000","13.79M","-5.45%"
"2022- 11- 06","93,500","85,400","95,300","85,000","16.40M","10.65%"
"2022- 10- 30","84,500","84,300","85,500","81,400","18.31M","1.32%"
"2022- 10- 23","83,400","92,200","95,500","83,000","20.22M","-7.85%"
"2022- 10- 16","90,500","94,600","96,200","89,000","14.81M","-5.24%"
"2022- 10- 09","95,500","89,700","96,600","88,000","15.75M","4.71%"
"2022- 10- 02","91,200","85,200","92,000","85,200","15.00M","9.75%"
"2022- 09- 25","83,100","81,500","83,900","80,400","15.08M","-0.48%"
"2022- 09- 18","83,500","90,800","91,500","83,300","15.20M","-8.44%"
"2022- 09- 11","91,200","91,700","95,200","90,000","9.61M","0.88%"
"2022- 09- 04","90,400","91,800","92,900","89,900","7.09M","-1.42%"
"2022- 08- 28","91,700","92,700","95,500","91,600","10.83M","-3.58%"
"2022- 08- 21","95,100","95,200","96,800","92,100","9.90M","-1.35%"
"2022- 08- 14","96,400","94,500","97,600","94,400","9.62M","3.32%"
"2022- 08- 07","93,300","97,700","97,700","91,800","16.52M","-5.28%"
"2022- 07- 31","98,500","97,200","98,700","96,100","9.36M","0.61%"
"2022- 07- 24","97,900","99,100","101,500","97,400","14.13M","-2.10%"
"2022- 07- 17","100,000","101,000","104,500","98,700","16.45M","1.32%"
"2022- 07- 10","98,700","95,000","99,000","91,700","13.92M","4.11%"
"2022- 07- 03","94,800","87,500","96,500","86,300","17.96M","8.34%"
"2022- 06- 26","87,500","92,700","96,100","87,100","15.47M","-4.48%"
"2022- 06- 19","91,600","96,700","96,800","89,700","15.40M","-4.98%"
"2022- 06- 12","96,400","100,000","101,500","95,000","17.43M","-6.86%"
"2022- 06- 05","103,500","105,500","107,500","102,500","14.19M","-3.27%"
"2022- 05- 29","107,000","108,000","108,500","105,500","10.65M","0.94%"
"2022- 05- 22","106,000","113,000","113,500","101,500","23.84M","-5.78%"
"2022- 05- 15","112,500","113,500","115,000","110,000","15.49M","0.00%"
"2022- 05- 08","112,500","107,000","112,500","106,500","18.01M","4.65%"
"2022- 05- 01","107,500","110,000","112,000","106,500","9.73M","-4.44%"
"2022- 04- 24","112,500","109,000","112,500","107,500","14.93M","1.81%"
"2022- 04- 17","110,500","107,000","115,000","106,500","14.06M","2.31%"
"2022- 04- 10","108,000","111,000","113,000","107,000","15.83M","-3.57%"
"2022- 04- 03","112,000","115,000","118,000","110,500","18.12M","-3.45%"
"2022- 03- 27","116,000","117,500","123,000","116,000","18.15M","-1.69%"
"2022- 03- 20","118,000","124,000","124,500","118,000","19.07M","-4.84%"
"2022- 03- 13","124,000","115,500","125,000","112,000","22.05M","5.98%"
"2022- 03- 06","117,000","119,000","121,500","115,500","15.65M","-6.02%"
"2022- 02- 27","124,500","123,000","129,500","121,000","12.40M","1.22%"
"2022- 02- 20","123,000","129,000","130,500","122,000","18.85M","-6.46%"
"2022- 02- 13","131,500","130,000","134,000","127,000","21.89M","-0.38%"
"2022- 02- 06","132,000","123,000","132,500","119,500","26.32M","6.02%"
"2022- 01- 30","124,500","124,500","127,000","124,000","8.10M","3.32%"
"2022- 01- 23","120,500","116,500","121,500","111,000","25.28M","1.26%"
"2022- 01- 16","119,000","127,500","128,500","118,000","22.83M","-7.39%"
"2022- 01- 09","128,500","126,500","130,000","123,000","18.70M","1.18%"
"2022- 01- 02","127,000","132,000","132,500","121,500","21.72M","-3.05%"
"2021- 12- 26","131,000","128,500","133,500","124,500","15.71M","2.34%"
"2021- 12- 19","128,000","121,500","130,000","120,500","15.07M","4.92%"
"2021- 12- 12","122,000","121,000","125,500","120,000","15.35M","1.24%"
"2021- 12- 05","120,500","116,000","125,000","115,500","23.59M","2.12%"
"2021- 11- 28","118,000","113,000","120,500","112,000","26.33M","2.16%"
"2021- 11- 21","115,500","116,500","122,500","113,000","25.98M","3.59%"
"2021- 11- 14","111,500","108,500","113,000","108,000","15.74M","4.69%"
"2021- 11- 07","106,500","107,000","110,000","104,000","12.41M","-0.47%"
"2021- 10- 31","107,000","103,500","109,000","102,500","13.58M","3.88%"
"2021- 10- 24","103,000","99,500","108,500","98,300","19.39M","4.57%"
"2021- 10- 17","98,500","98,300","99,200","95,500","9.51M","0.10%"
"2021- 10- 10","98,400","92,400","98,500","90,500","13.69M","4.68%"
"2021- 10- 03","94,000","98,900","99,500","93,500","13.75M","-6.00%"
"2021- 09- 26","100,000","104,000","105,500","99,600","17.58M","-3.85%"
"2021- 09- 19","104,000","105,500","107,000","104,000","4.66M","-2.80%"
"2021- 09- 12","107,000","105,000","108,500","104,000","14.01M","1.90%"
"2021- 09- 05","105,000","106,500","107,500","103,000","12.33M","-1.87%"
"2021- 08- 29","107,000","105,000","108,500","102,000","16.60M","3.38%"
"2021- 08- 22","103,500","104,500","106,500","101,000","19.17M","0.98%"
"2021- 08- 15","102,500","101,000","105,500","100,500","26.47M","0.99%"
"2021- 08- 08","101,500","117,500","118,000","98,900","51.83M","-13.98%"
"2021- 08- 01","118,000","113,500","123,000","113,000","18.45M","4.89%"
"2021- 07- 25","112,500","119,500","120,000","112,500","16.54M","-5.06%"
"2021- 07- 18","118,500","119,000","120,000","116,500","10.45M","-2.47%"
"2021- 07- 11","121,500","121,000","124,000","119,500","12.13M","1.67%"
"2021- 07- 04","119,500","123,500","126,000","118,000","13.46M","-2.45%"
"2021- 06- 27","122,500","129,000","129,500","121,500","16.02M","-4.67%"
"2021- 06- 20","128,500","121,000","129,000","120,500","13.17M","3.21%"
"2021- 06- 13","124,500","127,000","129,500","124,500","10.44M","-2.73%"
"2021- 06- 06","128,000","129,500","130,000","120,500","21.76M","-0.39%"
"2021- 05- 30","128,500","126,000","130,000","124,000","13.99M","2.80%"
"2021- 05- 23","125,000","122,000","126,500","119,000","16.00M","2.04%"
"2021- 05- 16","122,500","120,000","125,500","117,000","14.94M","3.38%"
"2021- 05- 09","118,500","131,000","131,000","115,500","30.13M","-8.49%"
"2021- 05- 02","129,500","127,500","132,500","127,000","14.16M","1.17%"
"2021- 04- 25","128,000","132,500","136,000","126,500","19.29M","-3.40%"
"2021- 04- 18","132,500","138,000","139,000","128,500","16.86M","-3.64%"
"2021- 04- 11","137,500","140,500","140,500","135,500","13.67M","-1.79%"
"2021- 04- 04","140,000","142,000","147,000","139,500","15.70M","-0.71%"
"2021- 03- 28","141,000","135,500","143,000","131,500","19.31M","4.44%"
"2021- 03- 21","135,000","138,500","140,000","130,500","18.28M","-2.17%"
"2021- 03- 14","138,000","141,500","145,000","136,000","18.28M","-1.43%"
"2021- 03- 07","140,000","143,000","143,000","130,500","29.94M","0.00%"
"2021- 02- 28","140,000","149,000","150,500","136,500","27.56M","-1.06%"
"2021- 02- 21","141,500","136,000","149,500","131,500","43.78M","6.39%"
"2021- 02- 14","133,000","130,000","134,000","125,500","22.85M","5.56%"
"2021- 02- 07","126,000","127,500","130,000","124,500","12.21M","-1.18%"
"2021- 01- 31","127,500","121,000","132,500","118,000","22.00M","4.08%"
"2021- 01- 24","122,500","130,000","135,000","121,500","29.44M","-4.67%"
"2021- 01- 17","128,500","126,000","135,000","125,000","22.19M","0.78%"
"2021- 01- 10","127,500","138,000","140,000","125,500","36.35M","-7.61%"
"2021- 01- 03","138,000","124,500","138,000","120,500","38.21M","16.46%"
"2020- 12- 27","118,500","119,000","119,500","114,000","13.18M","0.42%"
"2020- 12- 20","118,000","118,000","118,500","112,500","14.46M","-0.42%"
"2020- 12- 13","118,500","116,000","119,500","115,000","14.54M","2.60%"
"2020- 12- 06","115,500","118,500","121,000","114,000","27.22M","0.43%"
"2020- 11- 29","115,000","99,700","119,500","97,300","30.31M","16.40%"
"2020- 11- 22","98,800","97,300","102,000","96,300","16.68M","2.07%"
"2020- 11- 15","96,800","92,100","100,500","91,100","23.30M","7.92%"
"2020- 11- 08","89,700","86,500","90,000","85,600","15.27M","3.94%"
"2020- 11- 01","86,300","80,200","87,700","79,200","14.73M","8.01%"
"2020- 10- 25","79,900","84,300","84,700","79,900","10.67M","-4.77%"
"2020- 10- 18","83,900","86,100","90,900","82,300","19.67M","-1.64%"
"2020- 10- 11","85,300","83,900","89,000","83,500","18.93M","2.90%"
"2020- 10- 04","82,900","83,000","84,500","82,300","11.14M","-1.31%"
"2020- 09- 27","84,000","83,400","84,900","81,300","7.60M","1.33%"
"2020- 09- 20","82,900","83,700","85,900","80,200","22.18M","-0.96%"
"2020- 09- 13","83,700","79,100","83,900","78,900","22.26M","6.76%"
"2020- 09- 06","78,400","78,600","80,000","76,300","16.29M","-0.38%"
"2020- 08- 30","78,700","78,200","79,700","74,900","21.13M","1.16%"
"2020- 08- 23","77,800","74,600","80,200","73,700","18.98M","4.43%"
"2020- 08- 16","74,500","80,000","80,200","71,300","27.43M","-7.11%"
"2020- 08- 09","80,200","80,100","82,000","79,800","16.60M","-0.50%"
"2020- 08- 02","80,600","82,400","82,600","80,000","18.82M","-2.66%"
"2020- 07- 26","82,800","83,100","86,400","82,600","22.12M","-1.08%"
"2020- 07- 19","83,700","82,800","84,700","82,100","16.16M","0.97%"
"2020- 07- 12","82,900","83,100","83,900","82,000","10.95M","0.12%"
"2020- 07- 05","82,800","86,000","87,300","82,400","15.37M","-3.04%"
"2020- 06- 28","85,400","84,000","87,300","83,500","15.68M","0.95%"
"2020- 06- 21","84,600","84,400","87,400","83,900","15.38M","-0.94%"
"2020- 06- 14","85,400","84,100","87,400","82,000","17.98M","0.23%"
"2020- 06- 07","85,200","93,000","93,000","84,500","20.15M","-5.75%"
"2020- 05- 31","90,400","82,100","91,600","82,100","29.06M","10.92%"
"2020- 05- 24","81,500","81,500","85,400","80,500","24.74M","0.25%"
"2020- 05- 17","81,300","80,400","84,900","79,200","19.38M","-0.73%"
"2020- 05- 10","81,900","84,500","86,500","80,600","22.16M","-3.65%"
"2020- 05- 03","85,000","82,900","85,500","80,800","16.25M","1.55%"
"2020- 04- 26","83,700","81,700","84,800","81,200","10.13M","2.83%"
"2020- 04- 19","81,400","83,900","85,200","80,000","24.93M","-3.21%"
"2020- 04- 12","84,100","83,200","85,900","80,600","17.54M","0.00%"
"2020- 04- 05","84,100","81,000","86,700","80,200","21.56M","5.65%"
"2020- 03- 29","79,600","81,000","85,500","76,500","26.46M","-4.44%"
"2020- 03- 22","83,300","69,700","87,900","68,000","39.94M","11.36%"
"2020- 03- 15","74,800","83,700","84,800","65,800","39.77M","-9.33%"
"2020- 03- 08","82,500","89,500","89,700","76,000","33.14M","-10.91%"
"2020- 03- 01","92,600","90,000","95,900","88,300","23.23M","5.35%"
"2020- 02- 23","87,900","100,500","100,500","87,700","26.98M","-14.66%"
"2020- 02- 16","103,000","104,500","106,000","101,000","11.51M","-1.44%"
"2020- 02- 09","104,500","98,000","105,000","97,400","11.42M","5.24%"
"2020- 02- 02","99,300","91,800","101,000","91,500","14.26M","6.20%"
"2020- 01- 26","93,500","95,500","99,000","93,500","14.08M","-5.27%"
"2020- 01- 19","98,700","100,000","101,000","98,200","8.02M","-0.30%"
"2020- 01- 12","99,000","99,000","103,500","97,400","12.90M","0.10%"
"2020- 01- 05","98,900","93,000","99,700","92,800","18.22M","4.66%"
"2019- 12- 29","94,500","95,600","97,900","94,100","7.21M","-1.56%"
"2019- 12- 22","96,000","95,800","97,000","93,500","6.94M","1.05%"
"2019- 12- 15","95,000","87,200","96,400","87,000","18.45M","8.08%"
"2019- 12- 08","87,900","81,300","88,200","79,400","16.63M","9.06%"
"2019- 12- 01","80,600","80,900","81,800","76,800","15.61M","-0.37%"
"2019- 11- 24","80,900","82,300","84,100","80,700","11.84M","-0.98%"
"2019- 11- 17","81,700","86,000","86,500","80,500","12.56M","-4.11%"
"2019- 11- 10","85,200","82,500","85,200","80,700","8.92M","3.52%"
"2019- 11- 03","82,300","84,000","85,400","82,000","9.87M","-0.96%"
"2019- 10- 27","83,100","83,400","84,000","81,000","9.22M","0.24%"
"2019- 10- 20","82,900","77,800","82,900","77,100","14.84M","7.11%"
"2019- 10- 13","77,400","82,000","82,700","77,300","12.98M","-3.25%"
"2019- 10- 06","80,000","80,700","81,700","78,100","8.97M","-0.37%"
"2019- 09- 29","80,300","80,600","82,900","78,900","8.25M","-1.35%"
