"날짜","종가","시가","고가","저가","변동 %"
"2023- 07- 01","4.005","3.865","4.093","3.794","3.65%"
"2023- 06- 01","3.864","3.857","3.980","3.768","0.12%"
"2023- 05- 01","3.859","3.690","4.009","3.626","4.81%"
"2023- 04- 01","3.682","3.700","3.833","3.527","0.86%"
"2023- 03- 01","3.651","3.928","4.047","3.526","-6.95%"
"2023- 02- 01","3.924","3.640","3.987","3.498","7.92%"
"2023- 01- 01","3.635","3.945","3.983","3.490","-8.53%"
"2022- 12- 01","3.975","3.755","3.990","3.406","6.13%"
"2022- 11- 01","3.745","4.179","4.349","3.685","-10.03%"
"2022- 10- 01","4.163","3.768","4.425","3.634","10.11%"
"2022- 09- 01","3.781","3.301","3.905","3.296","14.58%"
"2022- 08- 01","3.299","3.024","3.330","2.855","9.54%"
"2022- 07- 01","3.012","3.195","3.278","2.951","-5.41%"
"2022- 06- 01","3.184","3.060","3.494","3.030","4.21%"
"2022- 05- 01","3.056","3.000","3.309","2.924","1.99%"
"2022- 04- 01","2.996","2.460","3.032","2.415","22.15%"
"2022- 03- 01","2.453","2.176","2.645","2.069","13.61%"
"2022- 02- 01","2.159","2.116","2.388","2.061","2.05%"
"2022- 01- 01","2.116","1.903","2.216","1.902","11.04%"
"2021- 12- 01","1.905","1.819","1.971","1.667","5.70%"
"2021- 11- 01","1.803","1.952","2.049","1.776","-7.04%"
"2021- 10- 01","1.939","2.063","2.177","1.923","-5.41%"
"2021- 09- 01","2.050","1.936","2.110","1.809","6.34%"
"2021- 08- 01","1.928","1.908","2.037","1.810","1.73%"
"2021- 07- 01","1.895","2.091","2.106","1.780","-9.27%"
"2021- 06- 01","2.088","2.291","2.330","1.929","-7.72%"
"2021- 05- 01","2.263","2.298","2.424","2.158","-1.52%"
"2021- 04- 01","2.298","2.410","2.426","2.207","-4.85%"
"2021- 03- 01","2.415","2.147","2.518","2.138","12.12%"
"2021- 02- 01","2.154","1.840","2.401","1.826","17.37%"
"2021- 01- 01","1.835","1.662","1.915","1.638","11.49%"
"2020- 12- 01","1.646","1.574","1.750","1.562","4.91%"
"2020- 11- 01","1.569","1.637","1.767","1.481","-5.38%"
"2020- 10- 01","1.658","1.462","1.690","1.425","14.02%"
"2020- 09- 01","1.454","1.482","1.516","1.320","-1.46%"
"2020- 08- 01","1.476","1.199","1.577","1.165","23.45%"
"2020- 07- 01","1.196","1.412","1.480","1.176","-15.37%"
"2020- 06- 01","1.413","1.400","1.762","1.356","0.12%"
