"날짜","종가","시가","고가","저가","거래량","변동 %"
"2023- 06- 29","72,700","73,000","73,400","72,600","9.25M","0.00%"
"2023- 06- 28","72,700","72,500","72,700","72,000","9.64K","0.14%"
"2023- 06- 27","72,600","72,500","72,600","72,000","0.26K","0.28%"
"2023- 06- 26","72,400","71,800","72,500","71,500","0.90K","1.12%"
"2023- 06- 25","71,600","71,600","71,600","71,600","","0.00%"
"2023- 06- 23","71,600","72,000","72,200","71,600","12.23M","0.42%"
"2023- 06- 22","71,300","70,100","71,500","70,100","0.55K","1.13%"
"2023- 06- 21","70,500","70,800","71,200","70,400","0.18K","-1.26%"
"2023- 06- 20","71,400","70,700","71,400","70,400","0.28K","0.28%"
"2023- 06- 19","71,200","71,400","71,700","70,900","0.32K","-0.84%"
"2023- 06- 18","71,800","71,800","71,800","71,800","","0.00%"
"2023- 06- 16","71,800","71,800","71,900","70,900","14.27M","0.42%"
"2023- 06- 15","71,500","72,100","72,300","71,400","0.50K","-0.56%"
"2023- 06- 14","71,900","72,100","72,200","71,100","12.46M","-0.14%"
"2023- 06- 13","72,000","71,700","72,200","71,600","0.14K","1.41%"
"2023- 06- 12","71,000","72,100","72,400","70,800","0.11K","-1.39%"
"2023- 06- 11","72,000","72,000","72,000","72,000","","0.00%"
"2023- 06- 09","72,000","71,100","72,300","70,800","14.97M","1.55%"
"2023- 06- 08","70,900","70,400","70,900","70,000","0.16K","-0.14%"
"2023- 06- 07","71,000","71,300","71,600","70,800","14.72M","-0.98%"
"2023- 06- 06","71,700","71,700","71,700","71,700","","0.00%"
"2023- 06- 05","71,700","72,700","72,700","71,400","12.62M","-0.69%"
"2023- 06- 04","72,200","72,200","72,200","72,200","","0.00%"
"2023- 06- 02","72,200","71,700","72,200","71,600","11.72M","1.83%"
"2023- 06- 01","70,900","70,900","71,600","70,600","14.55M","-0.70%"
"2023- 05- 31","71,400","72,400","72,500","71,000","0.89K","-1.24%"
"2023- 05- 30","72,300","71,300","72,300","71,200","6.00K","2.84%"
"2023- 05- 29","70,300","70,300","70,300","70,300","","0.00%"
"2023- 05- 26","70,300","69,800","70,400","69,500","19.47M","2.18%"
"2023- 05- 25","68,800","69,900","70,000","68,700","14.10M","0.44%"
"2023- 05- 24","68,500","68,100","68,700","68,000","8.05M","0.15%"
"2023- 05- 23","68,400","68,500","68,700","68,100","8.51M","-0.15%"
"2023- 05- 22","68,500","68,400","69,000","68,000","14.36M","0.15%"
"2023- 05- 21","68,400","68,400","68,400","68,400","","0.00%"
"2023- 05- 19","68,400","67,800","68,400","67,500","20.29M","3.32%"
"2023- 05- 18","66,200","65,900","66,200","65,700","0.32K","1.85%"
"2023- 05- 17","65,000","65,900","65,900","64,800","10.20M","-0.61%"
"2023- 05- 16","65,400","65,800","65,900","65,300","12.19M","1.40%"
"2023- 05- 15","64,500","64,100","64,600","63,900","8.13M","0.62%"
"2023- 05- 14","64,100","64,100","64,100","64,100","","0.00%"
"2023- 05- 12","64,100","63,700","64,600","63,600","7.53M","-0.16%"
"2023- 05- 11","64,200","64,800","65,100","64,200","0.43K","-0.62%"
"2023- 05- 10","64,600","65,500","65,500","64,300","13.02M","-1.07%"
"2023- 05- 09","65,300","65,800","65,800","65,100","9.28M","-0.91%"
"2023- 05- 08","65,900","66,200","66,300","65,400","0.54K","1.23%"
"2023- 05- 07","65,100","65,100","65,100","65,100","","0.00%"
"2023- 05- 04","65,100","65,600","65,700","64,700","9.76M","-0.46%"
"2023- 05- 03","65,400","65,200","65,600","64,900","0.82K","-0.46%"
"2023- 05- 02","65,700","66,000","66,300","65,100","14.08M","0.31%"
"2023- 05- 01","65,500","65,500","65,500","65,500","","0.00%"
"2023- 04- 28","65,500","65,200","65,900","65,000","18.14M","1.39%"
"2023- 04- 27","64,600","64,100","65,000","63,300","14.71M","0.78%"
"2023- 04- 26","64,100","63,700","64,300","63,300","1.99K","0.79%"
"2023- 04- 25","63,600","65,200","65,400","63,400","4.13K","-2.45%"
"2023- 04- 24","65,200","65,300","65,700","64,800","12.89M","-0.76%"
"2023- 04- 23","65,700","65,700","65,700","65,700","","0.00%"
"2023- 04- 21","65,700","65,800","65,900","65,400","10.29M","0.61%"
"2023- 04- 20","65,300","65,100","65,300","64,600","0.69K","-0.31%"
"2023- 04- 19","65,500","65,500","65,800","65,300","10.24M","-0.15%"
"2023- 04- 18","65,600","65,900","66,000","64,800","14.76M","0.46%"
"2023- 04- 17","65,300","64,900","65,600","64,700","4.08K","0.31%"
"2023- 04- 16","65,100","65,100","65,100","65,100","","0.00%"
"2023- 04- 14","65,100","66,600","66,600","65,000","15.49M","-1.51%"
"2023- 04- 13","66,100","65,600","66,100","65,400","1.44K","0.15%"
"2023- 04- 12","66,000","65,700","66,200","65,300","0.83K","0.15%"
"2023- 04- 11","65,900","66,200","66,200","65,400","16.18M","0.30%"
"2023- 04- 10","65,700","64,800","66,300","64,700","18.73M","1.08%"
"2023- 04- 09","65,000","65,000","65,000","65,000","","0.00%"
"2023- 04- 07","65,000","63,800","65,200","63,800","27.42M","4.33%"
"2023- 04- 06","62,300","63,500","63,600","62,300","14.97M","-2.50%"
"2023- 04- 05","63,900","63,700","64,000","63,400","0.73K","0.47%"
"2023- 04- 04","63,600","63,300","63,800","62,900","1.07K","0.79%"
"2023- 04- 03","63,100","64,000","64,000","63,000","11.94M","-1.41%"
"2023- 04- 02","64,000","64,000","64,000","64,000","","0.00%"
"2023- 03- 31","64,000","64,000","64,000","63,700","13.36M","1.27%"
"2023- 03- 30","63,200","63,700","63,700","63,100","1.47K","0.80%"
"2023- 03- 29","62,700","62,500","62,700","62,200","0.28K","-0.32%"
"2023- 03- 28","62,900","62,400","62,900","62,100","2.73K","1.29%"
"2023- 03- 27","62,100","62,700","62,800","62,000","3.85K","-1.43%"
"2023- 03- 26","63,000","63,000","63,000","63,000","","0.00%"
"2023- 03- 24","63,000","62,700","63,300","62,300","17.46M","1.12%"
"2023- 03- 23","62,300","60,600","62,300","60,600","15.30M","1.96%"
"2023- 03- 22","61,100","61,000","61,200","60,500","0.52K","1.33%"
"2023- 03- 21","60,300","60,500","60,700","60,100","0.07K","0.17%"
"2023- 03- 20","60,200","61,100","61,200","60,200","9.56M","-1.79%"
"2023- 03- 19","61,300","61,300","61,300","61,300","","0.00%"
"2023- 03- 17","61,300","60,800","61,300","60,600","13.81M","2.34%"
"2023- 03- 16","59,900","59,200","60,200","59,100","0.07K","0.17%"
"2023- 03- 15","59,800","60,000","60,300","59,600","4.52K","1.36%"
"2023- 03- 14","59,000","59,400","59,500","59,000","11.22M","-1.67%"
"2023- 03- 13","60,000","59,900","60,200","59,300","3.34K","0.84%"
"2023- 03- 12","59,500","59,500","59,500","59,500","","0.00%"
"2023- 03- 10","59,500","59,500","59,700","59,100","11.83M","-1.00%"
"2023- 03- 09","60,100","60,500","60,800","59,900","1.51K","-0.33%"
"2023- 03- 08","60,300","60,100","60,500","59,900","13.91M","-0.66%"
"2023- 03- 07","60,700","61,400","61,400","60,700","11.45M","-1.30%"
"2023- 03- 06","61,500","61,100","61,600","60,800","13.14M","1.65%"
"2023- 03- 05","60,500","60,500","60,500","60,500","","0.00%"
"2023- 03- 03","60,500","61,000","61,200","60,500","10.64M","-0.49%"
"2023- 03- 02","60,800","60,900","61,800","60,500","13.02M","0.33%"
"2023- 03- 01","60,600","60,600","60,600","60,600","","0.00%"
"2023- 02- 28","60,600","60,800","61,400","60,500","11.77M","0.17%"
"2023- 02- 27","60,500","60,800","60,800","60,200","11.11M","-1.31%"
"2023- 02- 26","61,300","61,300","61,300","61,300","","0.00%"
"2023- 02- 24","61,300","62,300","62,600","61,300","10.13M","-1.13%"
"2023- 02- 23","62,000","61,700","62,500","61,500","24.29K","1.47%"
"2023- 02- 22","61,100","61,500","61,800","61,000","0.51K","-1.61%"
"2023- 02- 21","62,100","62,700","62,800","62,000","7.58M","-0.96%"
"2023- 02- 20","62,700","62,900","63,000","61,800","12.88M","0.16%"
"2023- 02- 19","62,600","62,600","62,600","62,600","","0.00%"
"2023- 02- 17","62,600","62,900","63,300","62,400","10.68M","-1.73%"
"2023- 02- 16","63,700","62,600","63,700","62,400","0.13K","2.41%"
"2023- 02- 15","62,200","63,900","63,900","62,000","13.14M","-1.58%"
"2023- 02- 14","63,200","63,500","63,900","63,200","0.11K","0.48%"
"2023- 02- 13","62,900","62,900","63,000","62,300","10.68M","0.16%"
"2023- 02- 12","62,800","62,800","62,800","62,800","","0.00%"
"2023- 02- 10","62,800","62,600","63,000","62,400","9.34M","-0.32%"
"2023- 02- 09","63,000","63,000","63,300","62,300","12.12M","-0.16%"
"2023- 02- 08","63,100","62,800","63,300","62,400","12.18M","1.94%"
"2023- 02- 07","61,900","61,900","62,500","61,600","14.47M","0.49%"
"2023- 02- 06","61,600","62,800","63,000","61,600","15.46M","-3.45%"
"2023- 02- 05","63,800","63,800","63,800","63,800","","0.00%"
"2023- 02- 03","63,800","63,900","64,000","63,000","14.81M","0.47%"
"2023- 02- 02","63,500","63,200","63,900","62,600","23.12M","2.75%"
"2023- 02- 01","61,800","62,500","62,600","61,000","0.11K","1.31%"
"2023- 01- 31","61,000","63,400","63,700","61,000","1.28K","-3.63%"
"2023- 01- 30","63,300","64,900","64,900","63,100","19.15M","-2.01%"
"2023- 01- 29","64,600","64,600","64,600","64,600","","0.00%"
