"날짜","종가","시가","고가","저가","거래량","변동 %"
"2023- 06- 01","72,900","70,800","73,400","70,000","9.20M","2.10%"
"2023- 05- 01","71,400","66,000","72,500","63,600","24.13M","9.01%"
"2023- 04- 01","65,500","64,000","66,600","62,300","286.75M","2.34%"
"2023- 03- 01","64,000","60,900","64,000","59,000","267.11M","5.61%"
"2023- 02- 01","60,600","62,600","64,000","60,200","254.24M","-0.66%"
"2023- 01- 01","61,000","55,500","65,000","54,500","298.53M","10.31%"
"2022- 12- 01","55,300","63,100","63,200","55,300","228.50M","-11.09%"
"2022- 11- 01","62,200","59,900","63,200","58,100","284.92M","4.71%"
"2022- 10- 01","59,400","55,300","60,100","54,000","320.26M","11.86%"
"2022- 09- 01","53,100","58,700","58,900","51,800","278.13M","-11.06%"
"2022- 08- 01","59,700","61,000","61,900","58,200","245.99M","-2.77%"
"2022- 07- 01","61,400","56,900","62,600","55,700","299.06M","7.72%"
"2022- 06- 01","57,000","66,600","67,300","56,800","421.25M","-15.43%"
"2022- 05- 01","67,400","66,600","68,800","64,900","306.84M","0.00%"
"2022- 04- 01","67,400","69,500","69,600","64,500","307.43M","-3.16%"
"2022- 03- 01","69,600","72,300","73,100","68,700","284.06M","-3.47%"
"2022- 02- 01","72,100","74,900","75,800","71,000","230.31M","-1.64%"
"2022- 01- 01","73,300","79,400","79,800","71,200","277.50M","-6.39%"
"2021- 12- 01","78,300","72,000","80,800","71,600","335.51M","9.82%"
"2021- 11- 01","71,300","70,200","76,200","69,600","309.32M","2.15%"
"2021- 10- 01","69,800","73,900","74,000","68,300","296.27M","-5.80%"
"2021- 09- 01","74,100","76,700","77,800","73,700","275.50M","-3.39%"
"2021- 08- 01","76,700","79,200","83,300","72,500","493.09M","-2.29%"
"2021- 07- 01","78,500","80,500","81,300","78,100","270.32M","-2.73%"
"2021- 06- 01","80,700","80,500","83,000","79,600","325.98M","0.25%"
"2021- 05- 01","80,500","81,000","83,500","78,400","344.66M","-1.23%"
"2021- 04- 01","81,500","82,500","86,200","81,500","368.61M","0.12%"
"2021- 03- 01","81,400","85,100","85,300","80,600","378.66M","-1.33%"
"2021- 02- 01","82,500","81,700","86,400","81,000","422.57M","0.61%"
"2021- 01- 01","82,000","81,000","96,800","80,200","749.96M","1.23%"
"2020- 12- 01","81,000","67,100","81,300","67,100","521.81M","21.44%"
"2020- 11- 01","66,700","56,400","69,500","56,000","482.99M","17.84%"
"2020- 10- 01","56,600","57,500","61,500","56,600","317.42M","-2.75%"
"2020- 09- 01","58,200","54,100","61,300","54,100","415.69M","7.78%"
"2020- 08- 01","54,000","57,800","59,900","54,000","395.99M","-6.74%"
"2020- 07- 01","57,900","53,400","60,400","52,100","429.00M","9.66%"
"2020- 06- 01","52,800","50,800","57,000","49,900","510.21M","4.14%"
"2020- 05- 01","50,700","48,900","51,200","47,200","363.77M","1.40%"
"2020- 04- 01","50,000","47,450","52,000","45,350","418.68M","4.71%"
"2020- 03- 01","47,750","54,300","58,000","42,300","838.04M","-11.90%"
"2020- 02- 01","54,200","55,500","62,000","54,200","353.06M","-3.90%"
"2020- 01- 01","56,400","55,500","62,800","54,600","313.27M","1.08%"
"2019- 12- 01","55,800","50,900","57,300","49,000","247.88M","10.93%"
"2019- 11- 01","50,300","50,600","53,800","50,200","214.83M","-0.20%"
"2019- 10- 01","50,400","48,900","52,500","47,350","183.90M","2.75%"
"2019- 09- 01","49,050","44,850","49,650","43,100","196.94M","11.48%"
"2019- 08- 01","44,000","44,900","45,500","42,500","197.67M","-2.98%"
"2019- 07- 01","45,350","47,350","47,550","44,350","180.81M","-3.51%"
"2019- 06- 01","47,000","42,950","47,000","42,500","183.97M","10.59%"
"2019- 05- 01","42,500","45,500","46,150","40,850","258.24M","-7.31%"
"2019- 04- 01","45,850","45,200","47,600","43,800","198.12M","2.69%"
"2019- 03- 01","44,650","46,000","47,000","43,100","216.44M","-1.00%"
"2019- 02- 01","45,100","46,650","47,550","44,250","191.79M","-2.28%"
"2019- 01- 01","46,150","39,400","47,050","36,850","292.50M","19.25%"
"2018- 12- 01","38,700","42,750","43,400","38,100","237.94M","-7.53%"
"2018- 11- 01","41,850","42,450","45,250","41,750","201.79M","-1.30%"
"2018- 10- 01","42,400","46,450","46,800","40,400","227.75M","-8.72%"
"2018- 09- 01","46,450","48,200","48,300","44,000","186.92M","-4.13%"
"2018- 08- 01","48,450","46,050","48,450","43,500","190.08M","4.76%"
"2018- 07- 01","46,250","46,500","47,600","44,650","208.65M","-0.86%"
"2018- 06- 01","46,650","50,500","51,800","45,900","242.96M","-7.99%"
"2018- 05- 01","50,700","53,000","53,900","49,100","289.58M","-4.34%"
"2018- 04- 01","53,000","49,000","53,640","46,920","254.79M","7.68%"
"2018- 03- 01","49,220","46,580","52,020","45,080","260.27M","4.59%"
"2018- 02- 01","47,060","50,620","50,960","44,420","303.26M","-5.69%"
"2018- 01- 01","49,900","51,380","54,140","46,760","335.96M","-2.08%"
"2017- 12- 01","50,960","50,800","52,280","48,200","219.51M","0.31%"
"2017- 11- 01","50,800","57,500","57,520","50,200","225.77M","-7.77%"
"2017- 10- 01","55,080","53,360","55,440","52,140","166.92M","7.41%"
"2017- 09- 01","51,280","46,460","53,680","45,500","223.26M","10.71%"
"2017- 08- 01","46,320","48,000","49,340","44,220","260.89M","-3.90%"
"2017- 07- 01","48,200","47,500","51,320","46,780","216.60M","1.39%"
"2017- 06- 01","47,540","44,860","48,400","44,400","220.42M","6.35%"
"2017- 05- 01","44,700","45,500","47,220","44,400","248.90M","0.18%"
"2017- 04- 01","44,620","41,400","45,800","40,080","201.16M","8.30%"
"2017- 03- 01","41,200","38,420","42,680","38,420","246.20M","7.18%"
"2017- 02- 01","38,440","39,540","39,660","37,080","222.74M","-2.58%"
"2017- 01- 01","39,460","35,980","40,000","35,540","208.30M","9.49%"
"2016- 12- 01","36,040","34,800","36,600","34,140","185.86M","3.21%"
"2016- 11- 01","34,920","32,600","34,940","30,780","248.03M","6.53%"
